Date,Region,Day-Confirmed,Day-Deaths,Day-Recovered
2020-03-06,Ненецкий АО,0,0.0,0.0
2020-03-06,Чукотский АО,0,0.0,0.0
2020-03-06,Еврейская АО,0,0.0,0.0
2020-03-06,Магаданская область,0,0.0,0.0
2020-03-06,Республика Марий Эл,0,0.0,0.0
2020-03-06,Севастополь,0,0.0,0.0
2020-03-06,Камчатский край,0,0.0,0.0
2020-03-06,Республика Северная Осетия,0,0.0,0.0
2020-03-06,Республика Татарстан,0,0.0,0.0
2020-03-06,Чеченская Республика,0,0.0,0.0
2020-03-06,Республика Калмыкия,0,0.0,0.0
2020-03-06,Республика Ингушетия,0,0.0,0.0
2020-03-06,Республика Адыгея,0,0.0,0.0
2020-03-06,Карачаево-Черкесская Республика,0,0.0,0.0
2020-03-06,Республика Мордовия,0,0.0,0.0
2020-03-06,Кабардино-Балкарская Республика,0,0.0,0.0
2020-03-06,Курганская область,0,0.0,0.0
2020-03-06,Республика Дагестан,0,0.0,0.0
2020-03-06,Республика Тыва,0,0.0,0.0
2020-03-06,Чувашская Республика,0,0.0,0.0
2020-03-06,Рязанская область,0,0.0,0.0
2020-03-06,Липецкая область,0,0.0,0.0
2020-03-06,Тамбовская область,0,0.0,0.0
2020-03-06,Республика Алтай,0,0.0,0.0
2020-03-06,Сахалинская область,0,0.0,0.0
2020-03-06,Республика Башкортостан,0,0.0,0.0
2020-03-06,Владимирская область,0,0.0,0.0
2020-03-06,Смоленская область,0,0.0,0.0
2020-03-06,Костромская область,0,0.0,0.0
2020-03-06,Брянская область,0,0.0,0.0
2020-03-06,Орловская область,0,0.0,0.0
2020-03-06,Калужская область,0,0.0,0.0
2020-03-06,Астраханская область,0,0.0,0.0
2020-03-06,Тульская область,0,0.0,0.0
2020-03-06,Курская область,0,0.0,0.0
2020-03-06,Амурская область,0,0.0,0.0
2020-03-06,Ивановская область,0,0.0,0.0
2020-03-06,Пензенская область,0,0.0,0.0
2020-03-06,Удмуртская Республика,0,0.0,0.0
2020-03-06,Псковская область,0,0.0,0.0
2020-03-06,Тюменская область,0,0.0,0.0
2020-03-06,Белгородская область,0,0.0,0.0
2020-03-06,Республика Хакасия,0,0.0,0.0
2020-03-06,Новгородская область,0,0.0,0.0
2020-03-06,Краснодарский край,0,0.0,0.0
2020-03-06,Новосибирская область,0,0.0,0.0
2020-03-06,Кемеровская область,0,0.0,0.0
2020-03-06,Ярославская область,0,0.0,0.0
2020-03-06,Оренбургская область,0,0.0,0.0
2020-03-06,Калининградская область,0,0.0,0.0
2020-03-06,Ямало-Ненецкий АО,0,0.0,0.0
2020-03-06,Тверская область,0,0.0,0.0
2020-03-06,Томская область,0,0.0,0.0
2020-03-06,Ханты-Мансийский АО,0,0.0,0.0
2020-03-06,Ленинградская область,0,0.0,0.0
2020-03-06,Вологодская область,0,0.0,0.0
2020-03-06,Челябинская область,0,0.0,0.0
2020-03-06,Республика Саха (Якутия),0,0.0,0.0
2020-03-06,Ставропольский край,0,0.0,0.0
2020-03-06,Кировская область,0,0.0,0.0
2020-03-06,Республика Крым,0,0.0,0.0
2020-03-06,Приморский край,0,0.0,0.0
2020-03-06,Самарская область,0,0.0,0.0
2020-03-06,Алтайский край,0,0.0,0.0
2020-03-06,Омская область,0,0.0,0.0
2020-03-06,Волгоградская область,0,0.0,0.0
2020-03-06,Ульяновская область,0,0.0,0.0
2020-03-06,Саратовская область,0,0.0,0.0
2020-03-06,Иркутская область,0,0.0,0.0
2020-03-06,Забайкальский край,0,0.0,0.0
2020-03-06,Республика Бурятия,0,0.0,0.0
2020-03-06,Мурманская область,0,0.0,0.0
2020-03-06,Республика Коми,0,0.0,0.0
2020-03-06,Пермский край,0,0.0,0.0
2020-03-06,Хабаровский край,0,0.0,0.0
2020-03-06,Ростовская область,0,0.0,0.0
2020-03-06,Воронежская область,0,0.0,0.0
2020-03-06,Красноярский край,0,0.0,0.0
2020-03-06,Архангельская область,0,0.0,0.0
2020-03-06,Республика Карелия,0,0.0,0.0
2020-03-06,Свердловская область,0,0.0,0.0
2020-03-06,Нижегородская область,1,0.0,0.0
2020-03-06,Московская область,0,0.0,0.0
2020-03-06,Санкт-Петербург,0,0.0,0.0
2020-03-06,Москва,5,0.0,0.0
2020-03-07,Ненецкий АО,0,0.0,0.0
2020-03-07,Чукотский АО,0,0.0,0.0
2020-03-07,Еврейская АО,0,0.0,0.0
2020-03-07,Магаданская область,0,0.0,0.0
